Courier Partner,Couriers,Mode,Min weight,Max weight,Zone A,Zone B,Zone C,Zone D,Zone E,Zone F,COD Amount,COD Percentage,DPH Divisor 
Delhivery,Delhivery Surface,FWD,0,500,32.5,35.75,40.3,45.5,53.3,61.1,30,2,65
Delhivery,Delhivery Surface,RTO,0,500,22.1,26,26,28.6,33.8,39,30,2,65
Delhivery,Delhivery Surface,DTO,0,500,48.1,53.3,59.8,67.6,79.3,91,30,2,65
Delhivery,Delhivery Surface,FWD,+,500,28.6,33.8,35.1,39,44.2,52,30,2,65
Delhivery,Delhivery Surface,RTO,+,500,22.1,26,26,28.6,33.8,39,30,2,65
Delhivery,Delhivery Surface,DTO,+,500,42.9,50.7,52,58.5,66.3,78,30,2,65
Delhivery,Delhivery Express,FWD,0,500,33.8,37.05,54.6,64.35,87.1,91,30,2,65
Delhivery,Delhivery Express,RTO,0,500,29.9,33.8,44.2,53.3,70.2,74.1,30,2,65
Delhivery,Delhivery Express,DTO,0,500,49.4,54.6,80.6,94.9,130,135.2,30,2,65
Delhivery,Delhivery Express,FWD,+,500,29.9,35.1,50.7,58.5,79.3,81.9,30,2,65
Delhivery,Delhivery Express,RTO,+,500,29.9,33.8,44.2,53.3,70.2,74.1,30,2,65
Delhivery,Delhivery Express,DTO,+,500,44.2,52,75.4,87.1,118.3,118.3,30,2,65
Bluedart,Bluedart Air Express,FWD,0,500,75.92,103.246,124.501,154.869,173.082,173.082,45.5,2,0
Bluedart,Bluedart Air Express,RTO,0,500,75.92,103.246,124.501,154.869,173.082,173.082,45.5,2,0
Bluedart,Bluedart Air Express,DTO,0,500,166.92,194.246,215.501,245.869,264.082,264.082,45.5,2,0
Bluedart,Bluedart Air Express,FWD,+,500,75.92,103.246,124.501,154.869,173.082,173.082,45.5,2,0
Bluedart,Bluedart Air Express,RTO,+,500,75.92,103.246,124.501,154.869,173.082,173.082,45.5,2,0
Bluedart,Bluedart Air Express,DTO,+,500,166.92,194.246,215.501,245.869,264.082,264.082,45.5,2,0
Bluedart,Bluedart Surface Express,FWD,0,500,63.297,74.308,90.818,101.829,110.084,110.084,45.5,2,0
Bluedart,Bluedart Surface Express,RTO,0,500,63.297,74.308,90.818,101.829,110.084,110.084,45.5,2,0
Bluedart,Bluedart Surface Express,DTO,0,500,154.297,165.308,181.818,192.829,201.084,201.084,45.5,2,0
Bluedart,Bluedart Surface Express,FWD,+,500,63.297,74.308,90.818,101.829,110.084,110.084,45.5,2,0
Bluedart,Bluedart Surface Express,RTO,+,500,63.297,74.308,90.818,101.829,110.084,110.084,45.5,2,0
Bluedart,Bluedart Surface Express,DTO,+,500,154.297,165.308,181.818,192.829,201.084,201.084,45.5,2,0
E-Kart,E-Kart EXPRESS,FWD,0,500,84.5,84.5,109.2,109.2,109.2,109.2,0,0,0
E-Kart,E-Kart EXPRESS,RTO,0,500,0,0,0,0,0,0,0,0,0
E-Kart,E-Kart EXPRESS,DTO,0,500,85.8,88.4,100.1,107.9,167.7,167.7,0,0,0
E-Kart,E-Kart EXPRESS,FWD,+,500,39,39,39,39,39,39,0,0,0
E-Kart,E-Kart EXPRESS,RTO,+,500,0,0,0,0,0,0,0,0,0
E-Kart,E-Kart EXPRESS,DTO,+,500,31.2,35.1,42.9,50.7,71.5,71.5,0,0,0
E-Kart,E-Kart SURFACE,FWD,0,500,76.7,76.7,76.7,76.7,76.7,76.7,0,0,0
E-Kart,E-Kart SURFACE,RTO,0,500,0,0,0,0,0,0,0,0,0
E-Kart,E-Kart SURFACE,DTO,0,500,99.71,99.71,99.71,99.71,99.71,99.71,0,0,0
E-Kart,E-Kart SURFACE,FWD,501,1000,88.4,88.4,88.4,88.4,88.4,88.4,0,0,0
E-Kart,E-Kart SURFACE,RTO,501,1000,0,0,0,0,0,0,0,0,0
E-Kart,E-Kart SURFACE,DTO,501,1000,114.92,114.92,114.92,114.92,114.92,114.92,0,0,0
E-Kart,E-Kart SURFACE,FWD,1001,2000,104,104,104,104,104,104,0,0,0
E-Kart,E-Kart SURFACE,RTO,1001,2000,0,0,0,0,0,0,0,0,0
